,EMPRESAS,CATALOGO_EMPRESAS,TIPO_DOCUMENTO
93,,AESORIA CONTABLE TRIBUTARIA,
94,,AFESE ASOCIACION DE FUNCIONARIOS Y EMPLEADOS DEL SERVICIO EXTERIOR,
95,,AFP GENESIS S.A.,
96,,AFX SERVICIOS SUMINISTROS Y EQUIPOS DE LABORATORIO,
97,,AGAPE COLECTIVO TERAPEUTICO,
98,,AGATA P. BUTLER,
99,,AGENCIA ACREDITADORA DE CHILE A&C S.A.,
100,,AGENCIA ATTA CREATIVA – PRIMER REPORTE,
101,,AGENCIA DE CORDINACION DISTRITAL DEL COMERCIO (ACDC ) QUITO,
102,,AGENCIA DE DESARROLLO EMPRESARIAL ADE,
103,,AGENCIA DE LOS ESTADOS UNIDOS PARA EL DESARROLO INTERNACIONAL,
104,,AGENCIA DE MARKETING Y PUBLICIDAD,
105,,AGENCIA DE PUBLICIDAD LEON,
106,,AGENCIA DE PUBLICIDAD MOKITA,
107,,AGENCIA DE REGULACION Y CONTROL DE LA BIOSEGURIDAD Y CUARENTENA PARA GALAPAGOS,
108,,AGENCIA DE REGULACION Y CONTROL DE LA BIOSEGURIDAD Y CUARENTENA PARA GALAPAGOS (ABG),
109,,AGENCIA DE REGULACION Y CONTROL DE LAS TELECOMUNICACIONES,
110,,AGENCIA DE REGULACION Y CONTROL FITO Y ZOOSANITARIO,
111,,AGENCIA DE REGULACION Y CONTROL MINERO,
112,,AGENCIA DE VIAJES AEROTOURSD,
113,,AGENCIA DE VIAJES FIRENTUR S.A.,
114,,AGENCIA DE VIAJES INTI TRAVEL,
115,,AGENCIA DE VIAJES SUVIATOUR,
116,,AGENCIA DE VIAJES TEL AVIV TRAVEL CIA.LTDA,
117,,AGENCIA DE VIAJES VIAJES Y DESTINOS,
118,,AGENCIA DE VIAJES WASI PANKA TOURS WPT CIA LTDA,
119,,AGENCIA DE VIAJES Y TURISMO FIRENTUR S.A.,
120,,AGENCIA DE VIAJES Y TURISMO RYM WORLD TRAVEL S.A.,
121,,AGENCIA DE VIAJES YOUWORLDCLUB CIA. LTDA,
122,,AGENCIA MARITIMA GLOBAL S.A.,
123,,AGENCIA METROPOLITANA DE TRANSPORTE TERRESTE,
124,,AGENCIA NACIONAL DE REGULACION,
125,,AGENCIA NACIONAL DE REGULACION,
126,,AGENCIA NACIONAL DE TRANSITO,
127,,AGENCIA NACIONAL DE TRANSITO CARCHI,
128,,AGENCIA NACIONAL DE TRANSITO DIRECCION PROVINCIAL BOLIVAR.,
129,,AGENCIA NACIONAL DE TRANSITO DIRECCION PROVINCIAL SANTO DOMINGO,
130,,AGENCIA ODERBIZ,
131,,AGENCIA OPERADORA EQUINOCCIAL TOURING AGOPETOUR S.A,
132,,AGENCIA TECNICA DE SERVICIO AUTOMOTIZ,
133,,AGILA AGILA CARMEN ROSA,
134,,AGILA PALACIOS MONICA PATRICIA,
135,,AGILA SEPA CHRISTIAN RAFAEL,
136,,AGOPA,
137,,AGP GEOSPATIAL COMPANY,
138,,AGRICMARESA S.A,
139,,AGRICOLA FRONTERA SUR AGRIFRONT S.A.S,
140,,AGRICOLA MINERA AGRIMROC S.A.,
141,,AGRINDZAP AGRICOLA INDUSTRIAL ZAPOTILLO CIA LTDA,
142,,AGRIPAC S.A.,
143,,AGRO INDUSTRIAS WARSA COMPAÑIA ANONIMA,
144,,AGRO SERVICIO LORENCES HNOS.,
145,,AGRO-SERVICIO COMERCIAL BRIONES,
146,,AGROAZUCAR S.A,
147,,AGROBANSUR S.A,
148,,AGROINDUSTRIA EL MACAREÑITO S.A.,
149,,AGROINDUSTRIAS WARSA,
150,,AGROINGENIOSO,
151,,AGROINSUMOS DON PANTA,
152,,AGROLAB COMPANY S.A.,
153,,AGROPECUARIA SANTA ROSA,
154,,AGROPECUARIAS ECUADOR,
155,,AGROPECUARIOS ALVARITO,
156,,AGROPESA,
157,,AGROTA CIA. LTDA.,
158,,AGRUPACION MARISTA ECUATORIANA,
159,,AGRUPAMIENTO BATERIA DE ARTILLERIA NO 7 CABO MINACHO,
160,,AGUA Y BAMBOO HOSTERIA,
161,,AGUAPEN E.P ES UNA EMPRESA QUE SE DEDICA A LA PRESTACION DE SERVICIOS PUBLICOS DE ALCANTARILLADO SANITARIO,
162,,AGUDO PELAEZ DIANA KARINA,
163,,AGUIGRES CONSTRUCTORA S.A.,
164,,AGUILAR CARRION CARLOS FABIAN Y AREVALO TORRES RICARDO JAVIER,
165,,AGUILAR JARAMILLO LUIS FERNANDO,
166,,AGUILAR QUEZADA CARLOS HUMBERTO,
167,,AGUILAR QUEZADA ILIANA DEL CARMEN,
168,,AGUILAR Y AGUILAR CIA,
169,,AGUIRRE AGUIRRE IVONNE ELVIRA,
170,,AGUIRRE CORDOVA ANDREA SOLEDAD,
171,,AGUIRRE ESPINOZA PATRICIA,
172,,AGUIRRE MALDONADO EDUARDO BLADIMIR,
173,,AGUIRRE PADILLA NATHALIE ISABEL,
174,,AGUIRRE TORRES MARCO BORIS,
175,,AGUIRRE VALDIVIESO GONZALO IVAN,
176,,AHORROMARKET,
177,,AI-WIIIB,
178,,AIESEC EN ECUADOR,
179,,AIR TRANS COURRIER S.A. AIRCOUSRSA,
180,,AIRMAXTELECOM S.A.,
181,,AJ EVENTOS EDUCACION CONTINUA,
182,,AJECUADOR,
183,,AKAKANA EXPERIENCE CIA. LTDA.,
184,,AKROS,
185,,ALA DE COMBATE NRO. 21 TAURA,
186,,ALA DE COMBATE NRO. 22,
187,,ALA DE TRANSPORTES NRO 11,
188,,ALACIP,
189,,ALAMCEN Y FABRICA EL REY,
190,,ALARTEC,
191,,ALATA-INNOVACION S.A.,
192,,ALBA Y OJEDA ASESOR PRODUCTOR DE SEGUROS,
193,,ALBERGUE SAN JUAN DE DIOS,
194,,ALBUJA BATALLAS ANADRES_MORENO CORONEL MARIO,
195,,ALCALDIA DE PALTAS,
196,,ALCATEL,
197,,ALCATEL DEL ECUADOR SA,
198,,ALCAZAR JELEISY ELIZABETH,
199,,ALCIDES ARANDA ARANDA,
200,,ALCIVAR FRANCO LUIS GREGORIO,
201,,ALCONSEG,
202,,ALCOPALMA S.A.,
203,,ALDASEG CIA. LTDA.,
204,,ALDEAN SUPERMERCADOS,
205,,ALDEAS INFANTILES SOS ECUADOR,
206,,ALDEAS INFANTILES SOS ECUADOR GUALACEO,
207,,ALECONT - ASESORIA LEGAL,
208,,ALEFIBRA S.A,
209,,ALEJANDRO RAMOS YESSENIA,
210,,ALEMAN VEGA JAIRO PAUL,
211,,ALESSANDRA SPREMOLLA BRIGANTI,
212,,ALEX ALFREDO ALTAMIRANO YUPANGUI (LICORERIA PUNTO FRIO),
213,,ALEXANDER URREA DUQUE,
214,,ALEXSOFT S.A.,
215,,ALFAGRAMA EDICIONES,
216,,ALFALAM IMPORT,
217,,ALFAOMEGA COLOMBIANA S. A,
218,,ALFOMBRAS INDUSTRIALES ALFINSA S.A.,
219,,ALFREDO BURNEO BURNEO,
220,,ALIANZA FRANCESA LOJA,
221,,ALIANZA PARA EL EMPRENDIMIENTO E INNOCACION,
222,,ALIMEC S.A.,
223,,ALIMENTOS BALANCEADOS AVIFORTE CIA. LTDA.,
224,,ALIMENTOS Y CONSERVAS DEL ECUADOR S.A,
225,,ALIVINATU,
226,,ALLIANZA PSICOLOGIA,
227,,ALLURIAM HEALTHCO INC,
228,,ALMACEN CAÑONAZO,
229,,ALMACEN ELECTRO SHOPING,
230,,ALMACEN JUAN MONTERO,
231,,ALMACEN OCHOA HERMANOS,
232,,ALMACEN RAQUELITA,
233,,ALMACENES ASKY,
234,,ALMACENES ATU COMPANIA LIMITADA,
235,,ALMACENES ATU,
236,,ALMACENES DE PRATI SA,
237,,ALMACENES ESPAÑA,
238,,ALMACENES HORVATH,
239,,ALMACENES KLEBER LOAYZA CIA. LTDA.,
240,,ALMACENES LA GANGA,
241,,ALMACENES LA GANGA PIÑAS,
242,,ALMACENES MULTICENTER.,
243,,ALMACENES NORA,
244,,ALMACENES OCHOA HERMANOS,
245,,ALMACENES VALLEJO RUIZ,
246,,ALMEIDA NARVAEZ ASESORES,
247,,ALMESPANA CIA LTDA,
248,,ALPACIFIC S.A.,
249,,ALPAMAR S.A.,
250,,ALPE LAW,
251,,ALPE LAW S.A.,
252,,ALPHA INGENIERIA,
253,,ALPINA DE ECUADOR,
254,,ALPPONAT,
255,,ALS ECUADOR ALSECU S.A,
256,,ALTADI S.A.,
257,,ALTALA S.A.,
258,,ALTAMIRANO BENITEZ VERONICA PAULINA,
259,,ALTERNATIVA CONSULTORIA & INNOVACION,
260,,ALTIGLOBALCONT S A S,
261,,ALTO COMISIONADO DE LAS NACIONES UNIDAS PARA LOS REFUGIADOS,
262,,ALTON MOTORS S.A.S.,
263,,ALUMGLASS,
264,,ALUMINIO Y VIDRIO FALUVID,
265,,ALVARADO ARICHABALA SILVANA PAOLA,
266,,ALVARADO CHAMBA JULIO CESAR,
267,,ALVARADO HUALPA JOSE LUIS,
268,,ALVARADO JUELA VERONICA MONSERRATH,
269,,ALVARADO SOLORZANO JOSE ANTONIO,
270,,ALVAREZ & NERO SEVICIOS DE SOFTWARE SOFTSERVICE C.LTDA.,
271,,ALVAREZ ARIAS JOE JHAMIL,
272,,ALVAREZ BARBA S.A.,
273,,ALVAREZ GALVEZ LUZ ESTHER,
274,,ALVAREZ GALVEZ LUZ ETHER_VANEGAS VILLA MEDARDO ANGEL,
275,,ALVAREZ MERCHAN ISABEL LUCIA,
276,,ALVAREZ Y RODRIGUEZ CONSULTORIA EXPERTOSPRITEL COMPANIA LIMITADA,
277,,ALVEAR SANCHEZ JANNETT MARICELA,
278,,ALVISA ALUMINIO Y VIDRIO C LTDA,
279,,ALWIIIB,
280,,AMADEUS GLOBAL DISTRIBUTION,
281,,AMADEUSGLOBAL ECUADOR S. A.,
282,,AMAGUA – AGUAS DE SAN BORONDON,
283,,AMAPOLA FILMS,
284,,AMAWTAY WASI,
285,,AMAZON TRAVEL S.A,
286,,AMAZONAS TV,
287,,AMAZONASEDUC CIA. LTDA.,
288,,AMAZONASHOT,
289,,AMBCYBERNET,
290,,AMBIENTAL SERVICES,
291,,AMBRANCH,
292,,AMBRANCH-FOODS S.A,
293,,AME,
294,,AMERICA FM STEREO,
295,,AMERICAN CALL CENTER S.A. (AMERICALL),
296,,AMERICAN ENGLISH ISTITUTE,
297,,AMERICAN HOSPITAL MANAGEMENT COMPANY,
298,,AMORES CASTRO DIEGO MARCELO,
299,,ANA ALEXANDRA SANTOS,
300,,ANA MARILIN PEZO ALBARRACIN,
301,,ANA MERCEDES COLMENARES ESCALONA,
302,,ANABEL GABRIELA CORDOVA GALARZA,
303,,ANABEL MORENO ARCOS,
304,,ANACSE,
305,,ANAIS SHEYLA SANTACRUZ CARILLO,
306,,ANALISIS DE VALORES AVAL SA,
307,,ANALITICA AVANZADA-ASESORIA Y LABORATORIOS CIA. LTDA,
308,,ANCOIN ALTERNATIVA CONSULTORIA & INNOVACION CIA. LTDA.,
309,,ANCOR RIGI PLASTICS ECUADOR,
310,,ANDEAN ADVENTURES,
311,,ANDEANDRADE S.A.,
312,,ANDEANECUADOR CONSULTORES ESTRATEGICOS,
313,,ANDES PETROLEUM ECUADOR LDT,
314,,ANDINA DISTRIBUCIONES,
315,,ANDINATEL,
316,,ANDIPAPEL SA,
317,,ANDRADE & PAREDES S.A,
318,,ANDRADE CARRERA GLORIA MARIA,
319,,ANDRADE ESPAA DIANA LISSETTE,
320,,ANDRADE HIDALGO ROLANDO DAVID,
321,,ANDRADE MARTINEZ DIEGO VALERY,
322,,ANDRADE UREA RICARDO FABRICIO,
323,,ANDRADE VARGAS YAMIL SERGIO,
324,,ANDREA CATALINA AGUIRRE BERMEO,
325,,ANDREA PIEDAD ALVAREZ AGUAYO (PINWISHOP),
326,,ANDRUS INTELLECTUAL PROPERTY LAW,
327,,ANDY PAUL VITE VALVERDE,
328,,ANECAFE,
329,,ANGEL BYRON CORREA GUAMAN,
330,,ANGEL LEONARDO QUEZADA MONTOYA,
331,,ANGEL MARCELO RON TORRES,
332,,ANIMUS,
333,,ANNSYS SERVICIOS DE INGENIERIA MECANICA CIA. LTDA.,
334,,ANTONIO NARIÑO,
335,,ANTONIO NARIÑO UNIDAD EDUCATIVA DE INICIAL Y EGB-FISCAL,
336,,ANUNCIOS XPRESS TV,
337,,APADA DEL ECUADOR,
338,,APART HOTEL LOS ALMENDROS,
339,,APEOSAE,
340,,APOLO CAMPOVERDE AGENCIA DE VIAJES CIA. LTDA.,
341,,APOLO LEX APOLEXSA S.A.,
342,,APP SOLUCIONES CUENCA,
343,,AQ INMOBILIARIA,
344,,AQAS,
345,,AQASOLUTIONS CIA LTDA,
346,,AQASOLUTLONS,
347,,AQUARIEGO,
348,,AQUATRONIX CIA. LTDA.,
349,,ARABESKO S.A,
350,,ARACNO CIA LTDA,
351,,ARAMILLO LID MARGARITA,
352,,ARAQUE Y ARAQUE ABOGADOS ASOCIADOS,
353,,ARCA CONTINENTAL,
354,,ARCANGEL EDUARDO SANCHEZ GOMEZ,
355,,ARCECOR CÌA. LTDA.,
356,,ARCIMEGO,
357,,ARCOM,
358,,ARCSA,
359,,ARCTURUS CIA LTDA,
360,,AREA DE PEQUEÑA MINERIA PITUCA II,
361,,AREA JURIDICA PATRICIA PACHECO,
362,,ARES LEGAL AND BUSINESS ADVISORY BOARD ARESABOGADOS CIA.LTDA.,
363,,AREVALO BENITO HECTOR,
364,,AREVALO MANZANO LORENA ELIZABETH,
365,,ARIAS ANDREA ESTEFANIA,
366,,ARIAS SANCHEZ MARIA JOSE,
367,,ARIEL BOUTIQUE,
368,,ARIRIVALUE ASESORFIS CLA. LTDA.,
369,,ARKOSECUADOR S.A,
370,,ARMADA DEL ECUADOR,
371,,ARMADA DEL ECUADOR- CAPITANIA DE PUERTO BOLIVAR,
372,,ARMENGOL EDUARD PINEDA JACHO (ESTACION DE SERVICIO LA MARGARITA),
373,,ARMIJOS ARIAS PAULINA ALEXANDRA,
374,,ARMIJOS CAMPOVERDE HENRY ANTONIO,
375,,ARMIJOS CAMPOVERDE MARIANELA ISABEL,
376,,ARMIJOS CUENCA FAUSTO FERNANDO,
377,,ARMIJOS GONZALEZ ROCIO DEL CARMEN,
378,,ARMIJOS GONZALEZ ROSA ENITH / GONZALEZ CORONEL IVONNE MARIA / IIGUEZ GALLARDO MARIA VERONICA,
379,,ARMIJOS LOJAN JONATHAN EMILIO,
380,,ARMIJOS OJEDA DIEGO,
381,,ARMIJOS ORDONEZ JORGE WASHINGTON,
382,,ARMIJOS RAMON DANNY VINICIO,
383,,ARMIJOS SALINAS GRETTY PAULINA,
384,,ARQ ALFREDO RIOS,
385,,ARQ GEOVANNY SANCHEZ POMA,
386,,ARQ RAQUEL CORNEJO,
387,,ARQ. ADRIAN ARTURO SARANGO JARAMILLO,
388,,ARQ. CARLOS ALFREDO RIOS VEGA,
389,,ARQ. CARLOS VILLACIS,
390,,ARQ. DIEGO FERNANDO FERNANDEZ BRAVO,
391,,ARQ. ERNESTO FELIPE SANCHEZ,
392,,ARQ. FERNANDO VALDIVIESO MORA,
393,,ARQ. HERNAN SANTIAGO EGUIGUREN P.,
394,,ARQ. JOSE ANDRES PALACIO,
395,,ARQ. JULIO EDUARDO CHAVEZ ALVEAR,
396,,ARQ. MARCO TULIO JIMENEZ SANCHEZ,
397,,ARQ. MARIO ISRRAEL CHAMBA AYALA.,
398,,ARQ. RENE ARROBO,
399,,ARQ. SOPHIA ALEJANDRA PALACIO OJEDA,
400,,ARQCIL,
401,,ARQOEC MARKETING ESTUDIOS Y SERVICIOS,
402,,ARQUIDIOCESIS METROPOLITANA DE QUITO,
403,,ARQUITECTA NORA ALVARIO TAPIA,
404,,ARQUITECTO ALEJANDRO BASTIDAS CONSTRUCTOR,
405,,ARRIAGA ANDREA MONCERRATE,
406,,ARROBO RODAS ANGELICA NOEMI,
407,,ARROCERA CAMPOVERDE ARROCAMPASA S.A.,
408,,ARTE MODERNO,
409,,ARTEAGA PRODUCCIONES,
410,,ARTEIERES ESTEVAO ROMEIRO,
411,,ARTIEDA PONCE MAURICIO PATRICIO,
412,,ARTURO JAVIER ZARAGOCIN MARTINEZ,
413,,AS PRODUCCIONES,
414,,ASADERO EL FOGON,
415,,ASADERO MAYERLI,
416,,ASAMBLEA NACIONAL DEL ECUADOR,
417,,ASAMBLEA PERMANENTE DE DERECHOS HUMANOS DEL ECUADOR APDH,
418,,ASDECORP,
419,,ASECONT (ASESORÌA CONTABLE Y TRIBUTARIA) CARMEN ZABALETA,
420,,ASECONT SIGSIG,
421,,ASECONT.,
422,,ASENCONT,
423,,ASEPLAS,
424,,ASERTEC SA AGENCIA PRODUCTORA DE SEGGUROS,
425,,ASESORA Y PRODUCTORA DE TECNOLOGIAS DE LA INFORMACION AYNI ASOCIADOS AYNITICS CIA. LTDA.,
426,,ASESORAMIENTO CONTABLE Y TRIBUTARIO,
427,,ASESORAMIENTO TRIBUTARIO CONTABLE,
428,,ASESORES CONTABLES,
429,,ASESORES CONTABLES Y TRIBUTARIO MAURAD,
430,,ASESORES CONTABLES Y TRIBUTARIOS AMEPAC.,
431,,ASESORES CONTABLES Y TRIBUTARIOS L&G,
432,,ASESORES MORENO AREVALO & ASOCIADOS S.A.,
433,,ASESORES TRIBUTARIO JS ASOCIADOS,
434,,ASESORES Y DEFENSORES LEGALES SOLUTIOSN LEGALIS SOLUTIONSLEGALIS S.A.S.,
435,,ASESORIA AMBIENTAL,
436,,ASESORIA CONTABE VANEGAS,
437,,ASESORIA CONTABLE ,
438,,ASESORIA CONTABLE NACVA,
439,,ASESORIA CONTABLE NEGOCIO TORTILLAS DE MAIZ,
440,,ASESORIA CONTABLE TRIBUTARIA,
441,,ASESORIA CONTABLE TRIBUTARIA HG,
442,,ASESORIA CONTABLE Y TRIBUTARIA (ZOILA SANCHEZ),
443,,ASESORIA CONTABLE Y TRIBUTARIA DYG,
444,,ASESORIA CONTABLE Y TRIBUTARIA H Y S.,
445,,ASESORIA CONTABLE Y TRIBUTARIA MAURAD,
446,,ASESORIA CONTABLE Y TRIBUTARIA MGO,
447,,ASESORIA CONTABLE Y TRIBUTARIA O. M.,
448,,ASESORIA CONTABLE Y TRIBUTARIA Y PAPELERIA EN GENERAL,
449,,ASESORIA EMPRESARIAL LATINOAMERICANA WOCCULATAM S.A.,
450,,ASESORIA JURIDICA Y ARQUETECTONICA MACAS Y ASOCIADOS,
451,,ASESORIA TRIBUTABLE Y CONTABLE ALBAN,
452,,ASESORIA TRIBUTARIA MYE,
453,,ASESORIA TRIBUTARIA Y CONTABLE,
454,,ASESORIA Y ASISTENCIA TECNICA ASSISTECNI CIA.LTDA,
455,,ASESORIA Y PATROCINIO LEGAL,
456,,ASESORIA Y REPRESENTACION JURIDICA TECNICA ESPECIALIZADA ASETEC ABOGADOS CL,
457,,ASESORIA,
458,,ASFALTOS DEL SUR CIA. LTDA.,
459,,ASFSG,
460,,ASHLY GUISSELLA PEREZ CABRERA,
461,,ASIAGRI,
462,,ASIAMERICA,
463,,ASILO DE ANCIANOS LEON RUALES,
464,,ASISCONTAD S A,
465,,ASISTECOM CIA. LTDA.,
466,,ASISTENCIA CONTABLE Y TRIBUTARIA CYC,
467,,ASISTENCIA TECNICA INDUSTRIAL Y MECANICA - ASTIMEC S.A.,
468,,ASISTENCIA TFXNICA INDUSTRIAL Y MECANICA,
469,,ASLEXABOGADOS S.A,
470,,ASOCIACION ACSAM,
471,,ASOCIACION AGRO ARTESANAL DE PRODUCCION DE BIENES AGRICOLAS,
472,,ASOCIACION AGROARTESANAL DE PRODUCTORES DE CAFE DE ALTURA PUYANGO,
473,,ASOCIACION AGROARTESANAL DE PRODUCTORES ECOLOGICOS CAFE ESPECIAL DEL CANTON LOJA,
474,,ASOCIACION AGROPECUARI BUENAVENTURA DE SIGSIPAMBA,
475,,ASOCIACION AGROPECUARIA ARTESANAL DE PRODUCTORES ORGANICOS CUENCAS DEL RIO MAYO,
476,,ASOCIACION AGROPECUARIA ARTESANAL DE PRODUCTORES ORGANICOS CUENCAS DEL RIO MAYO ACRIM,
477,,ASOCIACION AGROPECUARIA GENERAL PEDRO J. MONTERO,
478,,ASOCIACION AGROPECUARIA QUINLATA,
479,,ASOCIACION AGROPECUARIA VIDA SANA,
480,,ASOCIACION AMOR Y FORTALEZA,
481,,ASOCIACION CAJA DE AHORRO Y CREDITO SAN FRANCISCO,
482,,ASOCIACION CAMPESINA AGROPECUARIA Y AMBIENTAL TAITA IMBABURA,
483,,ASOCIACION CAMPESINA SIEMPRE UNIDOS HUERTAS,
484,,ASOCIACION CANTONAL DE PRODUCTORES DE MANI,
485,,ASOCIACION CATOLICA DE COMUNICACION,
486,,ASOCIACION CHELONIA RUMANIA,
487,,ASOCIACION COMUNITARIA BOLIVAR TELLO CANO,
488,,ASOCIACION COMUNITARIA MINERA EL CONDOR,
489,,ASOCIACION CULTURAL ACADEMIA COTOPAXI,
490,,ASOCIACION DE ADULTOS MAYORES VILCABAMBA,
491,,ASOCIACION DE AGENTES CIVILES DE TRANSITO CUENCA,
492,,ASOCIACION DE ARMADORES Y PESCADORES ARTESANALES DE SAN CLEMENTE,
493,,ASOCIACION DE ARTESANOS DEL MUEBLE DE PINLLO,
494,,ASOCIACION DE ARTESANOS NUEVA GENERACION DE LA COMUNIDAD 25 DE DICIEMBRE,
495,,ASOCIACION DE CAFICULTORES ORGANICOS LAS LAJAS,
496,,ASOCIACION DE CANGREJEROS 17 DE ENERO,
497,,ASOCIACION DE CANGREJEROS AUTONOMOS Y AFINES AMOR Y ESPERANZA,
498,,ASOCIACION DE COMERCIANTES MINOSRISTAS FERIA LIBRE,
499,,ASOCIACION DE COMUNICADORES POPULARES PARA EL DESARROLLO DE LA REGION SUR ASCORI,
500,,ASOCIACION DE CONFECCION DE MODISTAS DE MUEY ASOCOMOMUEY,
501,,ASOCIACION DE CONSUMOS DE BIENES Y PRODUCTOS MINA DORADA ASOMIDORA,
502,,ASOCIACION DE CONTRALADORES DE TRANSITO AEREO,
503,,ASOCIACION DE DOCENTES DE LA UTPL,
504,,ASOCIACION DE EMPLEADOS CASA MATRIZ DEL BANCO CENTRAL DEL ECUADOR,
505,,ASOCIACION DE EMPLEADOS CFN,
506,,ASOCIACION DE EMPLEADOS DE LA COMPANIA ARCA ECUADOR,
507,,ASOCIACION DE EMPLEADOS DE LA CORPORACION FINANCIERA NACIONAL,
508,,ASOCIACION DE EMPLEADOS DE LA CORPORACION FINANCIERA NACIONAL SUCURSAL MAYOR GUAYAQUIL,
509,,ASOCIACION DE EMPLEADOS DE LA FURNCION LEGISLATIVA,
510,,ASOCIACION DE EMPLEADOS DE LA PRESIDENCIA DE LA REPUBLICA,
511,,ASOCIACION DE EMPLEADOS DE TAME,
512,,ASOCIACION DE EMPLEADOS DE UNILEVER ANDINA ECUADOR S.A.,
513,,ASOCIACION DE EMPLEADOS DEL CONSEJO PROVINCIAL DEL AZUAY,
